decade,years,mean (degC),anomaly vs 1961-1990,highest year,highest (degC),lowest year,lowest (degC)
1940s,4,9.5054,-0.0496,1949,10.2038,1947,9.0397
1950s,10,9.3518,-0.2032,1959,10.2355,1951,8.7639
1960s,10,9.3181,-0.2369,1961,9.7984,1963,8.7739
1970s,10,9.6091,0.0541,1971,10.0624,1979,8.9237
1980s,10,9.6449,0.0899,1989,10.6391,1986,8.8299
1990s,10,9.8466,0.2916,1990,10.4678,1996,9.0040
2000s,10,9.8222,0.2672,2006,10.2345,2001,9.3714
2010s,10,9.6687,0.1137,2014,10.0859,2010,8.4508
2020s,6,10.3324,0.7774,2023,10.7434,2020,9.7872
